epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1465.42,1.71084,1.76927,1.10212,0.91419,0.72394,0.60563,0.68139,0.31269,0.48745,0.38498,0.3876,0.13151,1.7061,1.73067,1.17228,0.97094,0.0011684,0.0011684,0.0011684
128,1476.73,1.60489,1.60527,1.05339,0.90353,0.81403,0.57542,0.68567,0.28583,0.53754,0.3438,0.34677,0.10563,1.86567,1.88242,1.17218,1.01853,0.0011618,0.0011618,0.0011618
129,1488.02,1.6215,1.64522,1.02936,0.91402,0.71375,0.64386,0.70414,0.31157,0.58886,0.37089,0.42184,0.14816,1.75534,1.76384,1.20229,0.98981,0.0011552,0.0011552,0.0011552
130,1499.31,1.66198,1.6895,1.04937,0.90598,0.73081,0.5863,0.64284,0.30055,0.54242,0.38498,0.42744,0.15034,1.76364,1.74559,1.2227,0.99764,0.0011486,0.0011486,0.0011486
131,1510.56,1.59074,1.68402,0.98967,0.89251,0.64674,0.53052,0.59233,0.27395,0.56292,0.31455,0.38584,0.1444,1.73662,1.63173,1.29642,0.98569,0.001142,0.001142,0.001142
132,1521.84,1.66718,1.69894,1.00496,0.91268,0.74876,0.57277,0.64566,0.2691,0.54301,0.32864,0.36217,0.10445,1.90824,1.82285,1.30088,1.05461,0.0011354,0.0011354,0.0011354
133,1533.14,1.64641,1.8188,1.06177,0.89891,0.78989,0.60563,0.676,0.29742,0.50214,0.3615,0.37647,0.129,1.74169,1.62228,1.1497,0.9921,0.0011288,0.0011288,0.0011288
134,1544.31,1.62725,1.6839,1.03487,0.89976,0.80072,0.5493,0.64795,0.30662,0.53453,0.34742,0.37325,0.13214,1.72367,1.72941,1.25394,0.98229,0.0011222,0.0011222,0.0011222
135,1555.5,1.6311,1.67317,1.00339,0.89978,0.70476,0.61972,0.66861,0.30841,0.46015,0.44019,0.38938,0.13408,1.7082,1.76068,1.17158,0.98406,0.0011156,0.0011156,0.0011156
136,1566.64,1.59772,1.59871,1.01802,0.89766,0.74258,0.61972,0.68129,0.32157,0.61499,0.42723,0.45955,0.15283,1.70652,1.81798,1.12166,0.98632,0.001109,0.001109,0.001109
137,1577.81,1.60845,1.64781,1.06075,0.89178,0.7337,0.6209,0.66935,0.2869,0.61715,0.34272,0.41208,0.13765,1.81785,1.88839,1.16525,1.00529,0.0011024,0.0011024,0.0011024
138,1589.05,1.62543,1.56119,1.04281,0.90603,0.70806,0.62627,0.67699,0.29516,0.59574,0.35211,0.38504,0.12358,1.7473,1.87125,1.26836,0.99097,0.0010958,0.0010958,0.0010958
139,1600.25,1.55838,1.56736,1.01444,0.89498,0.73375,0.57746,0.67792,0.33123,0.61308,0.34272,0.41737,0.15418,1.59317,1.6788,1.13645,0.95911,0.0010892,0.0010892,0.0010892
140,1611.48,1.61586,1.65445,1.00126,0.89886,0.72023,0.60563,0.66073,0.3004,0.59846,0.31455,0.37149,0.12141,1.75023,1.82633,1.30882,1.00861,0.0010826,0.0010826,0.0010826
141,1622.66,1.58272,1.6061,0.9915,0.89344,0.7906,0.55399,0.66249,0.29751,0.54323,0.37559,0.41794,0.13608,1.67988,1.64094,1.25329,0.98223,0.001076,0.001076,0.001076
142,1633.84,1.57622,1.67148,0.99784,0.91725,0.75421,0.58685,0.6579,0.29653,0.55216,0.3994,0.42406,0.14132,1.76016,1.81628,1.14603,0.97923,0.0010694,0.0010694,0.0010694
143,1645,1.63798,1.76715,1.04456,0.90367,0.78949,0.53521,0.64897,0.30915,0.496,0.3662,0.40408,0.14616,1.73292,1.67713,1.24626,0.98034,0.0010628,0.0010628,0.0010628
144,1656.23,1.59743,1.63484,0.99914,0.9129,0.71768,0.61033,0.66064,0.28961,0.57572,0.35211,0.38999,0.12725,1.77952,1.90677,1.25375,1.00637,0.0010562,0.0010562,0.0010562
145,1667.38,1.63604,1.76099,1.01134,0.90442,0.72213,0.64667,0.68805,0.30936,0.55186,0.37089,0.41646,0.13166,1.68145,1.76067,1.18826,0.97994,0.0010496,0.0010496,0.0010496
146,1678.6,1.50749,1.64636,0.96623,0.90072,0.72156,0.59155,0.67507,0.32392,0.65937,0.36353,0.47353,0.17197,1.63714,1.64227,1.21665,0.96794,0.001043,0.001043,0.001043
147,1690.13,1.57007,1.70733,0.99522,0.89441,0.72788,0.60278,0.6677,0.33276,0.60083,0.37089,0.43092,0.15805,1.65188,1.76281,1.23835,0.97488,0.0010364,0.0010364,0.0010364
148,1701.66,1.57172,1.66811,1.01958,0.89263,0.7326,0.55399,0.64914,0.30312,0.59647,0.31455,0.38521,0.14287,1.69196,1.83032,1.31547,0.99265,0.0010298,0.0010298,0.0010298
149,1713,1.58996,1.59328,1.0369,0.89986,0.75227,0.58216,0.67965,0.31754,0.59012,0.38967,0.43366,0.14319,1.63823,1.84649,1.17611,0.98819,0.0010232,0.0010232,0.0010232
150,1724.24,1.62122,1.71521,1.02215,0.88687,0.77591,0.60148,0.67796,0.32368,0.64882,0.39033,0.44264,0.15449,1.62037,1.70397,1.11634,0.97026,0.0010166,0.0010166,0.0010166
151,1735.45,1.54774,1.64015,0.96771,0.89328,0.74216,0.60811,0.68277,0.32777,0.60102,0.37559,0.42541,0.14842,1.6216,1.69633,1.15842,0.97182,0.00101,0.00101,0.00101
152,1746.78,1.59144,1.70164,1.02297,0.88206,0.73449,0.61042,0.68783,0.33098,0.57301,0.3615,0.4168,0.15792,1.59503,1.69698,1.12787,0.962,0.0010034,0.0010034,0.0010034
153,1758.14,1.57576,1.61562,0.98984,0.89575,0.72855,0.64789,0.69377,0.29836,0.4945,0.41315,0.42034,0.12433,1.85019,1.71632,1.22175,1.0235,0.0009968,0.0009968,0.0009968
154,1769.42,1.52364,1.70016,0.98429,0.88766,0.66324,0.5363,0.60043,0.27427,0.48205,0.30986,0.34892,0.11484,1.76461,1.5831,1.35983,1.00703,0.0009902,0.0009902,0.0009902
155,1780.6,1.5392,1.64195,0.98052,0.8913,0.71912,0.6338,0.69076,0.31878,0.55446,0.35211,0.39001,0.13288,1.60886,1.73282,1.11727,0.95832,0.0009836,0.0009836,0.0009836
156,1791.84,1.55465,1.54026,0.9797,0.87601,0.74104,0.618,0.68356,0.30739,0.59508,0.35211,0.40254,0.13916,1.65796,1.74354,1.18258,0.96931,0.000977,0.000977,0.000977
157,1803,1.54642,1.63615,0.99366,0.88058,0.76088,0.6338,0.68268,0.32395,0.48539,0.38526,0.39443,0.12858,1.68046,1.66447,1.12436,0.97932,0.0009704,0.0009704,0.0009704
158,1814.21,1.57346,1.5967,0.96299,0.87673,0.70567,0.61502,0.68104,0.33179,0.62367,0.38967,0.45489,0.15555,1.62941,1.77398,1.12788,0.96986,0.0009638,0.0009638,0.0009638
159,1825.33,1.50739,1.52692,0.98932,0.88589,0.6947,0.60894,0.66451,0.3188,0.61647,0.33803,0.42734,0.15989,1.67017,1.78321,1.17053,0.97607,0.0009572,0.0009572,0.0009572
160,1836.5,1.57539,1.63003,1.04115,0.89907,0.72423,0.62441,0.66485,0.32173,0.58627,0.39252,0.43194,0.1514,1.62789,1.80538,1.15008,0.96864,0.0009506,0.0009506,0.0009506
161,1847.68,1.50558,1.72668,0.96843,0.87658,0.73149,0.61502,0.67552,0.30329,0.54215,0.38028,0.41872,0.14551,1.73992,1.81689,1.21959,0.99656,0.000944,0.000944,0.000944
162,1858.96,1.51888,1.63108,0.92796,0.89401,0.73606,0.62847,0.67937,0.31116,0.68387,0.37089,0.42902,0.13802,1.71087,1.77789,1.10836,0.98026,0.0009374,0.0009374,0.0009374
163,1870.12,1.50704,1.50565,0.95659,0.88679,0.73084,0.61972,0.6731,0.29713,0.60331,0.3662,0.39619,0.12075,1.76265,1.9331,1.18898,1.00326,0.0009308,0.0009308,0.0009308
164,1881.24,1.50349,1.51672,0.90814,0.88612,0.74106,0.59119,0.66458,0.31911,0.60019,0.38967,0.47226,0.16055,1.68646,1.86147,1.16307,0.97794,0.0009242,0.0009242,0.0009242
165,1892.46,1.54341,1.63785,0.9504,0.90215,0.69606,0.61033,0.65888,0.3089,0.57038,0.38028,0.44337,0.14984,1.71358,1.70716,1.17038,0.98598,0.0009176,0.0009176,0.0009176
166,1903.71,1.50713,1.51905,0.94646,0.88698,0.71846,0.61102,0.68139,0.31694,0.56197,0.41784,0.43616,0.15152,1.69741,1.77896,1.19731,0.98569,0.000911,0.000911,0.000911
167,1914.9,1.49456,1.60738,0.93307,0.88057,0.80658,0.55869,0.65919,0.30203,0.56158,0.3662,0.42282,0.14422,1.75947,1.80166,1.24546,1.00985,0.0009044,0.0009044,0.0009044
168,1926.38,1.49317,1.65166,0.95886,0.88523,0.77268,0.61502,0.70634,0.33624,0.53274,0.39906,0.43285,0.15532,1.60484,1.73115,1.18575,0.95536,0.0008978,0.0008978,0.0008978
169,1937.68,1.50058,1.45959,0.96738,0.88116,0.80486,0.61963,0.71339,0.31175,0.51107,0.38967,0.41457,0.13437,1.71383,1.91803,1.16304,0.98399,0.0008912,0.0008912,0.0008912
170,1948.91,1.52324,1.65315,0.98686,0.88798,0.75877,0.63498,0.70653,0.33082,0.59385,0.43662,0.46579,0.15412,1.67916,1.71476,1.16583,0.98439,0.0008846,0.0008846,0.0008846
171,1960.06,1.56095,1.64136,0.99351,0.88165,0.75452,0.59624,0.65727,0.29959,0.50503,0.32864,0.37315,0.12146,1.6658,1.71985,1.12046,0.97254,0.000878,0.000878,0.000878
172,1971.24,1.54911,1.65821,0.95957,0.88614,0.7133,0.61033,0.65063,0.30154,0.54088,0.40845,0.43321,0.14417,1.67473,1.72383,1.11403,0.97476,0.0008714,0.0008714,0.0008714
173,1982.44,1.50914,1.58001,0.92938,0.881,0.75228,0.61502,0.67962,0.32479,0.58828,0.37559,0.42695,0.14648,1.65981,1.63114,1.23256,0.97462,0.0008648,0.0008648,0.0008648
174,1993.74,1.49688,1.56606,0.92675,0.88535,0.79623,0.58685,0.67218,0.29899,0.60431,0.34742,0.40889,0.1441,1.71448,1.85461,1.20826,0.97922,0.0008582,0.0008582,0.0008582
175,2005.1,1.54125,1.647,0.95606,0.8741,0.77628,0.60563,0.68705,0.30346,0.63072,0.40376,0.44676,0.13964,1.72361,1.71051,1.12521,0.98861,0.0008516,0.0008516,0.0008516
176,2016.39,1.50931,1.52897,0.8871,0.87565,0.76928,0.6105,0.67123,0.30985,0.51854,0.39439,0.41939,0.14692,1.67481,1.9278,1.16245,0.96969,0.000845,0.000845,0.000845
177,2027.62,1.51387,1.57136,0.90917,0.87571,0.68371,0.6495,0.66646,0.2935,0.55985,0.39437,0.42721,0.1345,1.71959,1.80964,1.22446,0.98781,0.0008384,0.0008384,0.0008384
178,2038.81,1.4968,1.57003,0.94099,0.88122,0.84219,0.57625,0.67996,0.31032,0.56063,0.36543,0.41963,0.1469,1.72641,1.66368,1.22577,0.99218,0.0008318,0.0008318,0.0008318
179,2049.93,1.49564,1.61418,0.91285,0.88723,0.79686,0.61972,0.69258,0.3294,0.54265,0.39906,0.41644,0.14873,1.64095,1.62437,1.14986,0.9707,0.0008252,0.0008252,0.0008252
180,2061.08,1.48844,1.62675,0.95098,0.86979,0.72489,0.60094,0.66446,0.29381,0.51374,0.38498,0.42772,0.13847,1.69848,1.67426,1.22187,0.98593,0.0008186,0.0008186,0.0008186
181,2072.29,1.47776,1.55692,0.92158,0.89022,0.83068,0.57581,0.68572,0.30349,0.54425,0.37564,0.41007,0.13647,1.78518,1.77572,1.12129,0.9975,0.000812,0.000812,0.000812
182,2083.5,1.4555,1.56716,0.93559,0.88111,0.75501,0.59323,0.67355,0.31507,0.56655,0.42723,0.44725,0.15376,1.63524,1.71354,1.18319,0.96663,0.0008054,0.0008054,0.0008054
183,2094.67,1.44329,1.60974,0.92214,0.87017,0.71701,0.62441,0.66643,0.28466,0.62333,0.34742,0.40292,0.1288,1.74243,1.79975,1.19057,0.99924,0.0007988,0.0007988,0.0007988
184,2105.85,1.49138,1.66346,0.90548,0.87995,0.80239,0.58216,0.69982,0.31603,0.56352,0.36975,0.4086,0.14564,1.68883,1.77324,1.21725,0.98485,0.0007922,0.0007922,0.0007922
185,2117.01,1.49459,1.55586,0.91819,0.87064,0.75959,0.6385,0.68362,0.3021,0.57712,0.37163,0.41852,0.14493,1.7493,1.80184,1.14751,0.99848,0.0007856,0.0007856,0.0007856
186,2128.21,1.49005,1.47819,0.94486,0.87454,0.78909,0.6338,0.7025,0.33125,0.57887,0.39437,0.41526,0.14715,1.61776,1.71784,1.16052,0.96867,0.000779,0.000779,0.000779
187,2139.4,1.4454,1.60167,0.87366,0.88645,0.74639,0.62178,0.6568,0.30116,0.54374,0.39437,0.41415,0.13761,1.66089,1.77444,1.23944,0.97189,0.0007724,0.0007724,0.0007724
188,2150.54,1.4699,1.61522,0.91634,0.87572,0.75619,0.64319,0.69238,0.3178,0.55983,0.37619,0.4192,0.16072,1.67041,1.69803,1.17792,0.97388,0.0007658,0.0007658,0.0007658
189,2161.72,1.45377,1.5271,0.88321,0.87615,0.77283,0.60563,0.69261,0.31693,0.60061,0.35681,0.40126,0.13592,1.65186,1.73014,1.18659,0.97108,0.0007592,0.0007592,0.0007592
190,2173.06,1.54736,1.64974,0.93335,0.89151,0.7698,0.55869,0.65349,0.30599,0.54057,0.33803,0.37288,0.13098,1.70678,1.7458,1.25151,1.00026,0.0007526,0.0007526,0.0007526
191,2184.49,1.52817,1.60288,0.97566,0.87843,0.78723,0.59059,0.6894,0.32568,0.56622,0.39906,0.42074,0.1451,1.64412,1.74952,1.12586,0.96889,0.000746,0.000746,0.000746
192,2195.81,1.48353,1.54966,0.94242,0.86894,0.78081,0.60563,0.70615,0.3243,0.56266,0.38967,0.43168,0.14227,1.66552,1.70846,1.13541,0.98294,0.0007394,0.0007394,0.0007394
193,2207.01,1.43626,1.56167,0.92082,0.8795,0.79035,0.58216,0.69397,0.31449,0.57692,0.39437,0.41302,0.13189,1.73069,1.80393,1.19225,1.00312,0.0007328,0.0007328,0.0007328
194,2218.25,1.39523,1.56683,0.86965,0.86907,0.78418,0.61413,0.68276,0.30907,0.49735,0.37163,0.39072,0.1359,1.66772,1.79483,1.24762,0.98061,0.0007262,0.0007262,0.0007262
195,2229.62,1.45879,1.6313,0.8649,0.87031,0.74274,0.58284,0.65993,0.29695,0.52552,0.34839,0.39153,0.11912,1.73631,1.80586,1.26659,1.00484,0.0007196,0.0007196,0.0007196
196,2240.89,1.41941,1.60525,0.89443,0.87172,0.78939,0.58216,0.66598,0.29155,0.51979,0.35211,0.3871,0.11856,1.71939,1.91521,1.24211,0.99309,0.000713,0.000713,0.000713
197,2252.12,1.45739,1.56697,0.92884,0.87101,0.76005,0.57746,0.67055,0.3034,0.52039,0.37089,0.40138,0.13732,1.66683,1.88499,1.21668,0.97908,0.0007064,0.0007064,0.0007064
198,2263.28,1.4482,1.64115,0.8862,0.89351,0.73469,0.65258,0.70098,0.31103,0.54954,0.40845,0.43405,0.1402,1.69931,1.76354,1.22655,0.98051,0.0006998,0.0006998,0.0006998
199,2274.4,1.45136,1.50392,0.9168,0.86495,0.79502,0.61033,0.6935,0.30361,0.65551,0.33333,0.41172,0.12994,1.75188,1.83617,1.13419,0.99018,0.0006932,0.0006932,0.0006932
200,2285.55,1.49483,1.55599,0.92369,0.87558,0.76045,0.64789,0.71532,0.32829,0.60142,0.38498,0.43433,0.14955,1.63398,1.8935,1.1362,0.957,0.0006866,0.0006866,0.0006866
201,2296.7,1.40897,1.54253,0.87518,0.86616,0.75598,0.59632,0.69467,0.31743,0.53973,0.37559,0.41889,0.13891,1.71817,1.73724,1.19367,0.98132,0.00068,0.00068,0.00068
202,2307.91,1.43191,1.57574,0.8904,0.8689,0.80536,0.59624,0.70044,0.31656,0.55431,0.3615,0.41149,0.13026,1.73772,1.84841,1.24375,0.98814,0.0006734,0.0006734,0.0006734
203,2319.11,1.411,1.55354,0.8746,0.85489,0.77435,0.65258,0.71148,0.33301,0.58739,0.41315,0.44259,0.15856,1.63362,1.79811,1.16498,0.95988,0.0006668,0.0006668,0.0006668
204,2330.34,1.35082,1.38724,0.84334,0.86258,0.80476,0.67136,0.73266,0.33571,0.57896,0.44544,0.44991,0.1548,1.65758,1.87774,1.13808,0.97587,0.0006602,0.0006602,0.0006602
205,2341.47,1.38842,1.50129,0.88117,0.85613,0.79784,0.60563,0.71473,0.33261,0.54403,0.40376,0.41841,0.14849,1.65215,1.79111,1.21765,0.97065,0.0006536,0.0006536,0.0006536
206,2352.65,1.43841,1.47175,0.92962,0.86022,0.76337,0.61972,0.68304,0.30802,0.56199,0.40845,0.44744,0.13902,1.73285,1.89122,1.18563,0.99739,0.000647,0.000647,0.000647
207,2363.85,1.41882,1.5605,0.87484,0.8561,0.73429,0.61502,0.69558,0.31492,0.48477,0.37089,0.40076,0.14054,1.66692,1.76855,1.13231,0.98126,0.0006404,0.0006404,0.0006404
208,2375.08,1.4274,1.41886,0.87955,0.86272,0.75768,0.65258,0.71546,0.32967,0.4858,0.44799,0.43454,0.15296,1.64433,1.76754,1.16308,0.98083,0.0006338,0.0006338,0.0006338
209,2386.31,1.41945,1.5222,0.85603,0.86666,0.77373,0.64217,0.69099,0.30894,0.58974,0.3662,0.41785,0.13884,1.70778,1.76661,1.18967,0.99329,0.0006272,0.0006272,0.0006272
210,2397.52,1.36818,1.52105,0.86859,0.85804,0.76332,0.60567,0.67354,0.32124,0.56567,0.39906,0.42116,0.16332,1.61482,1.74112,1.12836,0.96193,0.0006206,0.0006206,0.0006206
211,2408.87,1.40271,1.47613,0.86348,0.86288,0.76757,0.59155,0.68342,0.30655,0.55065,0.34272,0.40578,0.14555,1.64919,1.88812,1.16562,0.96957,0.000614,0.000614,0.000614
212,2420.29,1.39436,1.45484,0.87883,0.86245,0.75341,0.6385,0.69824,0.3139,0.59474,0.40845,0.44038,0.15733,1.62787,1.91382,1.20863,0.95972,0.0006074,0.0006074,0.0006074
213,2431.73,1.41977,1.51159,0.89672,0.86398,0.76747,0.58882,0.67021,0.31373,0.54724,0.40376,0.40543,0.13764,1.62869,1.91173,1.14168,0.96344,0.0006008,0.0006008,0.0006008
214,2442.98,1.39648,1.51351,0.85495,0.86562,0.70623,0.64319,0.67915,0.3109,0.5718,0.42005,0.45424,0.15139,1.67167,1.80188,1.12087,0.98337,0.0005942,0.0005942,0.0005942
215,2454.07,1.35077,1.37832,0.80585,0.87369,0.70384,0.60563,0.64199,0.29631,0.47132,0.35211,0.37724,0.12428,1.70504,1.95245,1.17972,0.985,0.0005876,0.0005876,0.0005876
216,2465.32,1.40755,1.52557,0.87596,0.87107,0.74342,0.61972,0.6875,0.32683,0.59422,0.38967,0.43912,0.15594,1.66485,1.7418,1.17183,0.98396,0.000581,0.000581,0.000581
217,2476.53,1.34337,1.40944,0.82809,0.87389,0.77909,0.60094,0.69019,0.32355,0.55146,0.38498,0.4132,0.14029,1.68757,1.80887,1.08727,0.98115,0.0005744,0.0005744,0.0005744
218,2487.77,1.38393,1.53735,0.83385,0.84913,0.80207,0.60094,0.70726,0.32685,0.52236,0.38028,0.41446,0.15506,1.65035,1.79248,1.07145,0.97593,0.0005678,0.0005678,0.0005678
219,2498.96,1.37691,1.49677,0.86554,0.85655,0.74384,0.65258,0.71722,0.32562,0.4523,0.46009,0.43697,0.14661,1.66221,1.82525,1.09803,0.98284,0.0005612,0.0005612,0.0005612
220,2510.28,1.39816,1.46011,0.85682,0.86692,0.72454,0.65449,0.69766,0.30927,0.50629,0.41315,0.42609,0.14758,1.69007,1.87364,1.1582,0.97941,0.0005546,0.0005546,0.0005546
221,2521.63,1.31794,1.36425,0.82595,0.85154,0.76748,0.6385,0.70671,0.32414,0.55092,0.42621,0.44461,0.15189,1.65858,1.83244,1.10338,0.97322,0.000548,0.000548,0.000548
222,2532.86,1.35279,1.55743,0.83837,0.85647,0.72795,0.67606,0.70812,0.32098,0.55255,0.40845,0.42931,0.16038,1.65004,1.9123,1.13166,0.97014,0.0005414,0.0005414,0.0005414
223,2544.04,1.36656,1.41738,0.84045,0.86678,0.76252,0.63315,0.70609,0.32064,0.50465,0.42568,0.41826,0.14801,1.65752,1.90321,1.11046,0.97873,0.0005348,0.0005348,0.0005348
224,2555.21,1.40709,1.56972,0.85578,0.85596,0.73879,0.66667,0.70623,0.32345,0.55906,0.41315,0.43797,0.15108,1.66188,1.76054,1.1554,0.98508,0.0005282,0.0005282,0.0005282
225,2566.48,1.32343,1.378,0.8019,0.86374,0.80409,0.61663,0.70946,0.31453,0.53573,0.41714,0.41999,0.14133,1.70373,1.82241,1.18611,0.9904,0.0005216,0.0005216,0.0005216
226,2577.71,1.35548,1.49164,0.8521,0.85587,0.79999,0.63847,0.73042,0.33292,0.61963,0.39437,0.46199,0.16318,1.64542,1.84547,1.15565,0.97624,0.000515,0.000515,0.000515
227,2588.86,1.30955,1.35565,0.81653,0.85888,0.79871,0.59611,0.70314,0.31436,0.55391,0.44601,0.45334,0.15491,1.71199,1.93225,1.15107,0.98863,0.0005084,0.0005084,0.0005084
228,2599.98,1.36478,1.47113,0.83864,0.84627,0.78436,0.66197,0.72549,0.33227,0.61387,0.41784,0.46245,0.16041,1.64631,1.87655,1.11423,0.97905,0.0005018,0.0005018,0.0005018
229,2611.07,1.34489,1.51505,0.83619,0.86445,0.76287,0.67136,0.7087,0.33049,0.49843,0.43662,0.42149,0.15626,1.64418,2.04756,1.09438,0.97431,0.0004952,0.0004952,0.0004952
230,2622.44,1.35442,1.42154,0.80392,0.86287,0.74583,0.61972,0.68697,0.31422,0.53233,0.42254,0.42297,0.14154,1.70243,2.01151,1.1814,0.98628,0.0004886,0.0004886,0.0004886
231,2633.62,1.34075,1.53467,0.83712,0.85864,0.74188,0.66197,0.70791,0.33097,0.54494,0.39437,0.41752,0.14911,1.67277,1.94984,1.11077,0.96989,0.000482,0.000482,0.000482
232,2644.95,1.39715,1.43369,0.88222,0.86049,0.69209,0.6385,0.6845,0.31193,0.52049,0.42297,0.42861,0.13835,1.68805,1.97445,1.16258,0.97799,0.0004754,0.0004754,0.0004754
233,2656.47,1.36596,1.48477,0.83107,0.84854,0.75416,0.6385,0.70502,0.33674,0.55267,0.48357,0.4642,0.1682,1.6217,1.95915,1.13966,0.95952,0.0004688,0.0004688,0.0004688
234,2667.68,1.32315,1.4377,0.80422,0.85803,0.76534,0.64319,0.72057,0.32975,0.55661,0.41784,0.4285,0.14413,1.68682,2.03066,1.08368,0.97932,0.0004622,0.0004622,0.0004622
235,2679.01,1.28467,1.34706,0.80753,0.85998,0.75208,0.62441,0.7166,0.32778,0.55357,0.40845,0.43323,0.15661,1.64601,1.9621,1.08536,0.96067,0.0004556,0.0004556,0.0004556
236,2690.23,1.36512,1.62175,0.83004,0.8491,0.78781,0.64493,0.71877,0.32743,0.52762,0.43192,0.43833,0.16415,1.64857,1.79548,1.06851,0.96375,0.000449,0.000449,0.000449
237,2701.4,1.31943,1.33624,0.82987,0.85809,0.71495,0.67606,0.71138,0.32804,0.53914,0.39906,0.42249,0.14442,1.65468,1.81851,1.05291,0.97504,0.0004424,0.0004424,0.0004424
238,2712.8,1.29596,1.43795,0.78977,0.84508,0.7765,0.64319,0.7209,0.33337,0.51178,0.43662,0.43549,0.15835,1.67688,1.83791,1.11049,0.97423,0.0004358,0.0004358,0.0004358
239,2724.1,1.32204,1.45507,0.81395,0.86333,0.75142,0.61502,0.69625,0.32289,0.57654,0.39437,0.44033,0.14644,1.67186,1.96249,1.14934,0.97624,0.0004292,0.0004292,0.0004292
240,2735.48,1.31019,1.37525,0.80146,0.85393,0.76557,0.68075,0.71926,0.32592,0.47518,0.42254,0.41423,0.14441,1.68196,1.88969,1.11257,0.98174,0.0004226,0.0004226,0.0004226
241,2746.82,1.33404,1.5046,0.81107,0.84657,0.78647,0.64319,0.71971,0.34594,0.55882,0.44131,0.45171,0.15379,1.6027,1.80719,1.10068,0.96729,0.000416,0.000416,0.000416
242,2758.19,1.3297,1.44739,0.81855,0.85458,0.75656,0.65258,0.71485,0.32354,0.49476,0.43192,0.42997,0.15265,1.69083,1.82226,1.19548,0.97905,0.0004094,0.0004094,0.0004094
243,2769.48,1.31023,1.49002,0.82852,0.85129,0.75317,0.65258,0.72481,0.32915,0.56044,0.41302,0.43339,0.15155,1.68482,1.82252,1.13098,0.9834,0.0004028,0.0004028,0.0004028
244,2780.66,1.32766,1.43186,0.81114,0.86278,0.74459,0.65697,0.73092,0.34457,0.52369,0.4554,0.47652,0.17312,1.59588,1.80829,1.11765,0.96386,0.0003962,0.0003962,0.0003962
245,2791.82,1.28211,1.3842,0.80006,0.85584,0.71785,0.68075,0.72929,0.34098,0.62534,0.46479,0.49266,0.17915,1.64365,1.86314,1.09784,0.96747,0.0003896,0.0003896,0.0003896
246,2802.98,1.28947,1.45887,0.79183,0.85109,0.75091,0.6935,0.72716,0.33294,0.59061,0.42723,0.43193,0.14712,1.66905,1.94792,1.15985,0.96731,0.000383,0.000383,0.000383
247,2814.27,1.32275,1.4327,0.81053,0.85403,0.76887,0.67158,0.71058,0.32057,0.58537,0.43745,0.45747,0.15853,1.69197,1.85716,1.17836,0.96698,0.0003764,0.0003764,0.0003764
248,2825.49,1.3159,1.53321,0.81664,0.851,0.78603,0.65728,0.72461,0.349,0.55035,0.46479,0.46957,0.16653,1.62828,1.81554,1.16573,0.96321,0.0003698,0.0003698,0.0003698
249,2836.66,1.30331,1.49714,0.81126,0.83725,0.72268,0.67136,0.71858,0.33396,0.57417,0.40376,0.44698,0.15976,1.63989,1.8153,1.1312,0.96419,0.0003632,0.0003632,0.0003632
250,2847.83,1.29845,1.4866,0.78253,0.85615,0.77215,0.65258,0.71211,0.33758,0.51029,0.43192,0.42038,0.13992,1.62872,1.85301,1.10528,0.96023,0.0003566,0.0003566,0.0003566
251,2859,1.30701,1.42061,0.80242,0.85581,0.77214,0.66818,0.71235,0.34131,0.53466,0.46009,0.4506,0.15403,1.60946,1.81647,1.08151,0.95748,0.00035,0.00035,0.00035
252,2870.2,1.26822,1.32003,0.76737,0.85503,0.74777,0.68545,0.71804,0.34299,0.57359,0.43662,0.45764,0.15932,1.64215,1.86045,1.04119,0.96568,0.0003434,0.0003434,0.0003434
253,2881.44,1.27475,1.36587,0.79104,0.85793,0.74852,0.67075,0.72508,0.33312,0.59311,0.44131,0.45584,0.15044,1.69194,1.99331,1.07977,0.98367,0.0003368,0.0003368,0.0003368
254,2892.78,1.30176,1.5448,0.80011,0.85424,0.73452,0.68075,0.71988,0.34244,0.57427,0.43662,0.47441,0.15738,1.62645,1.95268,1.1043,0.96023,0.0003302,0.0003302,0.0003302
255,2904.03,1.2362,1.43205,0.78452,0.83411,0.81104,0.62467,0.7225,0.34899,0.60929,0.45393,0.46635,0.16621,1.60004,1.87216,1.11258,0.95513,0.0003236,0.0003236,0.0003236
256,2915.2,1.22155,1.28264,0.75664,0.84795,0.77716,0.6713,0.71083,0.34107,0.57131,0.46479,0.46075,0.1551,1.63153,1.91354,1.09255,0.9605,0.000317,0.000317,0.000317
257,2926.44,1.28196,1.44792,0.7803,0.84873,0.76772,0.67606,0.71346,0.33518,0.59328,0.47887,0.47374,0.16461,1.63247,1.87045,1.09408,0.95998,0.0003104,0.0003104,0.0003104
258,2937.73,1.27152,1.33171,0.79653,0.85393,0.73792,0.67606,0.70666,0.33114,0.58926,0.42723,0.44663,0.15857,1.65379,1.88988,1.13987,0.96827,0.0003038,0.0003038,0.0003038
