epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,362.284,1.90276,1.96466,1.33856,0.96291,0.58764,0.53052,0.52281,0.23536,0.35792,0.35681,0.28236,0.0865,1.79511,1.69165,1.46498,1.00923,0.0018086,0.0018086,0.0018086
31,373.552,1.90085,1.83245,1.35735,0.98914,0.49547,0.50255,0.45821,0.16581,0.29181,0.29597,0.19315,0.05217,1.82371,1.88275,1.55183,0.99949,0.001802,0.001802,0.001802
32,384.796,1.89834,1.92955,1.4805,0.97492,0.60488,0.51643,0.56209,0.26869,0.55972,0.35211,0.38703,0.12025,1.7798,1.79392,1.35878,0.98886,0.0017954,0.0017954,0.0017954
33,396.542,1.87762,1.87874,1.34576,0.97449,0.55949,0.46511,0.51029,0.19993,0.35528,0.29108,0.26164,0.06716,1.94296,1.85122,1.4572,1.04066,0.0017888,0.0017888,0.0017888
34,407.96,1.90959,1.91248,1.3515,0.96982,0.59881,0.51174,0.54129,0.23395,0.34292,0.33078,0.26733,0.08656,1.78064,1.70784,1.62143,1.01878,0.0017822,0.0017822,0.0017822
35,419.339,1.94294,1.90276,1.40517,0.98728,0.65115,0.58216,0.62645,0.28797,0.55764,0.38967,0.3927,0.12683,1.71573,1.69319,1.26066,0.99216,0.0017756,0.0017756,0.0017756
36,430.503,1.83634,1.83985,1.31881,0.97211,0.68348,0.48663,0.57843,0.2448,0.53898,0.3615,0.38059,0.11033,1.8025,1.77911,1.36282,1.01524,0.001769,0.001769,0.001769
37,441.659,1.90471,1.91826,1.34976,0.94272,0.65102,0.47887,0.53794,0.22712,0.4766,0.33333,0.33015,0.11261,1.80593,1.79099,1.33551,0.99912,0.0017624,0.0017624,0.0017624
38,452.882,1.96777,1.91348,1.37312,0.9915,0.64538,0.47887,0.54097,0.21989,0.45093,0.33333,0.31652,0.10127,1.89332,1.80102,1.36327,1.02528,0.0017558,0.0017558,0.0017558
39,464.334,1.92765,1.78527,1.35102,0.97216,0.61142,0.53991,0.58599,0.26255,0.47689,0.39906,0.37864,0.13651,1.75627,1.73082,1.31855,0.99294,0.0017492,0.0017492,0.0017492
